[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;1;1.0;0.770384;-0.146134;-2.123876;
1;1;1.0;0.573521;-0.188217;-2.102737;
1;1;1.0;0.378842;-0.247255;-2.071624;
1;1;1.0;0.188056;-0.329051;-2.024735;
1;1;1.0;0.004279;-0.443191;-1.952483;
1;1;1.0;3.061924;0.497895;-2.35001;
1;1;1.0;2.88255;0.464199;-2.372165;
1;1;1.0;2.700999;0.422925;-2.393722;
1;1;1.0;2.517768;0.373745;-2.414356;
1;1;1.0;2.333438;0.316189;-2.433595;
1;1;1.0;2.148675;0.249599;-2.45078;
1;1;1.0;1.963383;0.173421;-2.465359;
1;1;1.0;1.777068;0.087151;-2.476827;
1;1;1.0;1.589322;-0.009866;-2.48453;
1;0;1.0;1.399861;-0.006798;-2.487599;
1;0;1.0;1.203065;-0.006302;-2.488095;
1;1;1.0;1.003084;-0.014609;-2.486769;
1;1;1.0;0.803175;-0.03174;-2.4836;
1;1;1.0;0.603487;-0.059253;-2.477032;
1;1;1.0;0.404354;-0.099578;-2.464632;
1;1;1.0;0.206458;-0.156713;-2.442403;
1;1;1.0;0.01116;-0.237635;-2.403369;
1;1;1.0;5.833773;0.364808;-3.054682;
1;1;1.0;5.643507;0.318139;-3.063863;
1;1;1.0;5.450054;0.263434;-3.07199;
1;1;1.0;5.253578;0.200615;-3.078984;
1;1;1.0;5.05457;0.129587;-3.08475;
1;0;1.0;4.856292;0.13404;-3.089203;
1;0;1.0;4.658149;0.138763;-3.093927;
1;0;1.0;4.460141;0.14383;-3.098993;
1;0;1.0;4.262285;0.149277;-3.104441;
1;0;1.0;4.064596;0.155151;-3.110314;
1;0;1.0;3.867097;0.1615;-3.116664;
1;0;1.0;3.66981;0.168387;-3.123551;
1;0;1.0;3.472764;0.175881;-3.131045;
1;0;1.0;3.275993;0.184065;-3.139229;
1;0;1.0;3.079536;0.193039;3.134983;
1;0;1.0;2.88344;0.202919;3.125103;
1;0;1.0;2.687764;0.213849;3.114173;
1;0;1.0;2.492577;0.226002;3.10202;
1;0;1.0;2.297968;0.239591;3.088431;
1;0;1.0;2.104044;0.254882;3.07314;
1;0;1.0;1.910942;0.272206;3.055816;
1;0;1.0;1.718838;0.291984;3.036038;
1;0;1.0;1.527958;0.31476;3.013262;
1;0;1.0;1.338604;0.341239;2.986783;
1;0;1.0;1.151177;0.372358;2.955664;
1;0;1.0;0.96623;0.409373;2.918649;
1;1;1.0;0.783925;0.446311;2.87473;
1;1;1.0;0.604518;0.4846;2.822478;
1;1;1.0;0.428436;0.526314;2.75982;
1;1;1.0;0.256408;0.574554;2.683655;
1;1;1.0;0.089687;0.634096;2.589206;
1;1;1.0;1.788708;0.249238;-1.418254;
0;1;1.0;1.593015;0.215721;-1.433606;
0;1;1.0;1.396051;0.173631;-1.447367;
-1;1;0.97;1.204065;0.121595;-1.458379;
-1;1;0.94;1.017661;0.058403;-1.465661;
-1;1;0.91;0.837704;-0.017548;-1.467857;
-1;1;0.88;0.664875;-0.108312;-1.463173;
-1;1;0.85;0.499373;-0.216479;-1.449299;
-1;1;0.82;0.341824;-0.345515;-1.423069;
-1;1;0.79;0.193535;-0.500088;-1.38014;
-1;1;0.76;0.056896;-0.686386;-1.314673;
-1;1;0.73;7.534057;0.906989;2.520827;
0;1;0.73;7.453868;0.782434;2.505425;
