[mass=10.0;maxForwardSpeed=10.0;maxBackwardSpeed=0.0;turnRange=0.349066;brakePower=0.3;enginePower=0.2;steeringPower=0.2]
1;-1;1.0;8.096012;-0.432099;-1.054356;
1;-1;1.0;7.91119;-0.370996;-1.045646;
1;-1;1.0;7.723442;-0.302207;-1.03764;
1;-1;1.0;7.533792;-0.225653;-1.030418;
1;-1;1.0;7.343604;-0.141228;-1.024086;
1;-1;1.0;7.154591;-0.0488;-1.018776;
1;-1;1.0;6.968822;0.051797;-1.014653;
1;-1;1.0;6.788719;0.160757;-1.011912;
1;-1;1.0;6.615103;0.278224;-1.010696;
1;0;1.0;6.440345;0.278314;-1.010786;
1;0;1.0;6.262518;0.279719;-1.012191;
1;0;1.0;6.081662;0.282538;-1.015011;
1;0;1.0;5.897864;0.286889;-1.019361;
1;0;1.0;5.71126;0.292901;-1.025373;
1;0;1.0;5.522042;0.300725;-1.033197;
1;0;1.0;5.331295;0.310082;-1.042554;
1;0;1.0;5.141136;0.32002;-1.052492;
1;1;1.0;4.951174;0.323388;-1.062841;
1;1;1.0;4.760994;0.319997;-1.073413;
1;1;1.0;4.570183;0.309631;-1.083992;
1;0;1.0;4.380039;0.320959;-1.095319;
1;0;1.0;4.190636;0.333115;-1.107475;
1;0;1.0;4.002058;0.346189;-1.12055;
1;0;1.0;3.814401;0.360286;-1.134646;
1;0;1.0;3.627779;0.375522;-1.149882;
1;0;1.0;3.442322;0.392035;-1.166395;
1;0;1.0;3.258181;0.409981;-1.184341;
1;1;1.0;3.074958;0.422249;-1.203591;
1;1;1.0;2.892208;0.42869;-1.223994;
1;1;1.0;2.709452;0.429127;-1.245375;
1;1;1.0;2.526199;0.423354;-1.267527;
0;1;1.0;2.341958;0.411116;-1.290196;
0;1;1.0;2.156262;0.392098;-1.313066;
-1;1;0.97;1.974293;0.365356;-1.335409;
-1;1;0.94;1.795882;0.330479;-1.357044;
-1;1;0.91;1.621072;0.286999;-1.377748;
-1;1;0.88;1.450137;0.234357;-1.397223;
-1;1;0.85;1.283597;0.171875;-1.415071;
-1;1;0.82;1.122228;0.098708;-1.430749;
-1;1;0.79;0.967075;0.013797;-1.443519;
-1;1;0.76;0.819455;-0.084193;-1.452396;
-1;1;0.73;0.680556;-0.1969;-1.45612;
-1;1;0.7;0.550266;-0.32618;-1.453245;
-1;1;0.67;0.428696;-0.474232;-1.442016;
0;1;0.67;0.31628;-0.643144;-1.420348;
0;1;0.67;0.213909;-0.835311;-1.385845;
0;1;0.67;0.123077;-1.053286;-1.335953;
1;1;0.69;0.046019;-1.299093;-1.268348;
1;1;0.71;7.175561;0.274323;2.418123;
1;1;0.73;7.092972;0.085425;2.409423;
1;0;0.75;6.999605;0.093258;2.40159;
1;0;0.77;6.89528;0.100227;2.394621;
1;0;0.79;6.779836;0.106327;2.388521;
1;0;0.81;6.653136;0.111547;2.383301;
